t xx yy zz xxIn yyIn zzIn xxOut yyOut zzOut wptRefX wptRefY wptRefZ
22 1.0078926615695 0.3335345970108 0.0164926127418733 0.983014610577382 0.275027258528156 -0.0513287159443466 1.03277071256162 0.392041935493444 0.0843139414280932 0.994493141705 0.104801675093 0
23 1.0074256778915 0.33479771573515 0.0159151344978408 0.982785264506532 0.277270447312214 -0.0519099710178837 1.03206609127647 0.392324984158086 0.0837402400135653 0.993957993794 0.109761134163 0
24 1.0026274437284 0.350774296563 0.015283829181792 0.977200101835199 0.290044827940419 -0.0524898819341351 1.0280547856216 0.411503765185581 0.0830575402977191 0.993395809096 0.114737816221 0
25 1.0006036613289 0.35597859020555 0.015857715562292 0.977286909840791 0.29604199206621 -0.0519596302719263 1.02392041281701 0.41591518834489 0.0836750613965103 0.992810682999 0.119695228492 0
26 0.9995495094914 0.3577235734895 0.0151043116400775 0.976896328556601 0.297172600465999 -0.053070718142278 1.0222026904262 0.418274546513001 0.083279341422433 0.992199480336 0.124660303312 0
27 0.99532920620685 0.36331353559255 0.0160724007477775 0.968058370390167 0.299933690285149 -0.0527565892907387 1.02260004202353 0.426693380899951 0.0849013907862937 0.99156280607 0.129627163888 0
28 0.99532920620685 0.36331353559255 0.0160724007477775 0.968058370390167 0.299933690285149 -0.0527565892907387 1.02260004202353 0.426693380899951 0.0849013907862937 0.990903835245 0.13457187409 0
29 0.99462596561235 0.3642934412852 0.0168128570346275 0.96792959477387 0.300843841783352 -0.0503467628067703 1.02132233645083 0.427743040787048 0.0839724768760253 0.990217029541 0.139535781813 0
30 0.9917720056049 0.3775059642822 0.013940822100696 0.965155823634088 0.321412911996463 -0.0550558314602713 1.01838818757571 0.433599016567937 0.0829374756616633 0.989506899033 0.144485628232 0
31 0.9917720056049 0.3775059642822 0.013940822100696 0.965155823634088 0.321412911996463 -0.0550558314602713 1.01838818757571 0.433599016567937 0.0829374756616633 0.988772194872 0.149430741977 0
32 0.9899033754627 0.3818141288155 0.0135141270194955 0.961769749594397 0.320097242402388 -0.0557809410966403 1.018037001331 0.443531015228612 0.0828091951356313 0.988012795801 0.154372003078 0
33 0.9872505732938 0.38827029407345 0.012730518514428 0.960747027014523 0.333243679320279 -0.0569773204842961 1.01375411957308 0.443296908826621 0.0824383575131521 0.987230241812 0.159299873358 0
34 0.9872505732938 0.38827029407345 0.012730518514428 0.960747027014523 0.333243679320279 -0.0569773204842961 1.01375411957308 0.443296908826621 0.0824383575131521 0.986420857999 0.164237300588 0
35 0.98449765592315 0.39447184947335 0.015118294292198 0.958484756335151 0.336689383202917 -0.0526602483452749 1.01051055551115 0.452254315743783 0.0828968369296709 0.985588696601 0.169159454752 0
36 0.9840859603315 0.3967091657917 0.014482806012978 0.957270871556526 0.341792338368176 -0.0526348398022662 1.01090104910647 0.451625993215224 0.0816004518282222 0.984730490462 0.174085786769 0
37 0.97947604744445 0.4017825497344 0.015034127282168 0.943744106343297 0.338807339133482 -0.0521756758805424 1.0152079885456 0.464757760335318 0.0822439304448784 0.983846540539 0.179013923119 0
38 0.97635791406 0.40814744864795 0.015120214554243 0.942072259790999 0.348218150251304 -0.0527004791912304 1.010643568329 0.468076747044596 0.0829409082997164 0.982938212704 0.183936048687 0
39 0.9753698040927 0.4135827303377 0.012767349066835 0.94153115976687 0.356210222214085 -0.0566646194844983 1.00920844841853 0.470955238461316 0.0821993176181683 0.982005777726 0.188850873743 0
40 0.9753698040927 0.4135827303377 0.012767349066835 0.94153115976687 0.356210222214085 -0.0566646194844983 1.00920844841853 0.470955238461316 0.0821993176181683 0.981049103032 0.19375927704 0
41 0.973374284077 0.4195240085329 0.01273932546589 0.939185950046827 0.362998544440881 -0.0554502105615216 1.00756261810717 0.476049472624919 0.0809288614933016 0.980067835401 0.198663126957 0
42 0.9690104043644 0.4258767180127 0.0107111431336735 0.934248650229212 0.36718515713081 -0.0522185388367554 1.00377215849959 0.48456827889459 0.0736408251041024 0.979064470102 0.203550395196 0
43 0.96690593754305 0.43044908776325 0.0118738410815845 0.930813638269692 0.370927633704382 -0.0508212666797907 1.00299823681641 0.489970541822118 0.0745689488429597 0.978032633839 0.208451834117 0
44 0.9646982882044 0.4351972363057 0.0133400177343845 0.930674480968488 0.380536816380729 -0.0510310984310876 0.998722095440312 0.489857656230671 0.0777111338998566 0.976977925757 0.213340414793 0
45 0.96367605985445 0.4368992946381 0.0131346559769295 0.928923976690628 0.380213678991047 -0.0510742549526704 0.998428143018272 0.493584910285153 0.0773435669065294 0.975901488252 0.21821156071 0
46 0.9598468828935 0.4468616372729 0.0118198645341725 0.925368272164861 0.391868096777966 -0.0505825139483724 0.994325493622139 0.501855177767834 0.0742222430167174 0.974797572456 0.223091220657 0
47 0.95725666146305 0.45035142124155 0.0106977611096025 0.923987205242727 0.39432805652861 -0.052596548357948 0.990526117683373 0.50637478595449 0.0739920705771531 0.973668360956 0.227969127017 0
48 0.95237479378905 0.45772169148345 0.0098714375517055 0.910452830007433 0.397259889168852 -0.052373222811827 0.994296757570667 0.518183493798048 0.0721160979152381 0.972515906253 0.232836449219 0
49 0.95186542822435 0.4603892716713 0.0079651502957055 0.910106545230758 0.40019471429503 -0.0571987342849681 0.993624311217942 0.52058382904757 0.0731290348763791 0.971338355125 0.237701072491 0
50 0.9503527146727 0.46355928997825 0.0082795139023285 0.9098787035293 0.405791959322761 -0.0556121372008002 0.9908267258161 0.521326620633739 0.0721711650054572 0.970139174346 0.242548927847 0
51 0.948415007829 0.4695175823804 0.0080340118835035 0.907845276409261 0.413644235504109 -0.0559668668970344 0.988984739248739 0.525390929256692 0.0720348906640414 0.968914147019 0.247397202302 0
52 0.9477241479748 0.4711607793011 0.0073577055396585 0.907472890351111 0.417135364682057 -0.0570498356784923 0.987975405598489 0.525186193920143 0.0717652467578093 0.967663672765 0.252243962089 0
53 0.9470297737607 0.47249388978715 0.0081146332307185 0.907503377109298 0.419844044567762 -0.0572688553702042 0.986556170412102 0.525143735006538 0.0734981218316412 0.966394424168 0.257063838251 0
54 0.94030583652615 0.48466826698885 0.0097526262800965 0.898059725269096 0.425822610332163 -0.0548220935144798 0.982551947783204 0.543513923645537 0.0743273460746728 0.965094752578 0.261900970879 0
55 0.93673108168805 0.4904663641946 0.0081722748044335 0.896726747427443 0.434927414897904 -0.0571749236439457 0.976735415948657 0.546005313491296 0.0735194732528127 0.963774875954 0.266717056971 0
56 0.93673108168805 0.4904663641946 0.0081722748044335 0.896726747427443 0.434927414897904 -0.0571749236439457 0.976735415948657 0.546005313491296 0.0735194732528127 0.962421902198 0.271558616453 0
57 0.9339540919839 0.4949136614974 0.0070974287588535 0.88585364329948 0.435210397006681 -0.0577628947483705 0.982054540668321 0.554616925988119 0.0719577522660775 0.961057554615 0.276348288789 0
58 0.9322525813418 0.49684763801705 0.0071908505881935 0.883950873032598 0.435491880933108 -0.0575417626906543 0.980554289651002 0.558203395100992 0.0719234638670413 0.959664058442 0.281149239611 0
59 0.93055696741875 0.49983626708955 0.0060211876732935 0.881674212883994 0.438167039651534 -0.0562365527923819 0.979439721953506 0.561505494527566 0.0682789281389689 0.958247925772 0.285938652081 0
60 0.9275629445604 0.50561924545945 0.0039436554936435 0.880181204729576 0.445079051098228 -0.0608362269846186 0.974944684391224 0.566159439820673 0.0687235379719056 0.956808930351 0.290717510311 0
61 0.9242674006816 0.5103778596599 0.0072105690798635 0.879058578603116 0.454093768431802 -0.0578072743244913 0.969476222760084 0.566661950887998 0.0722284124842183 0.955343073143 0.295498921484 0
62 0.92359139077615 0.51211296674745 0.0071955317651135 0.878408939491616 0.457018097567624 -0.057797728156797 0.968773842060684 0.567207835927277 0.072188791687024 0.953853859131 0.300271236421 0
63 0.920439662181 0.517075903068 0.0060569613183385 0.876197521628941 0.465151706692853 -0.0598565356856724 0.964681802733059 0.569000099443147 0.0719704583223494 0.952338096599 0.305044504568 0
64 0.9144502661245 0.5258614763428 0.0064624116783525 0.867456215434684 0.47239807423273 -0.0592036355837184 0.961444316814316 0.57932487845287 0.0721284589404234 0.950800811516 0.309802867678 0
65 0.9144502661245 0.5258614763428 0.0064624116783525 0.867456215434684 0.47239807423273 -0.0592036355837184 0.961444316814316 0.57932487845287 0.0721284589404234 0.949237970251 0.314558859094 0
66 0.9134789590736 0.5282174751534 0.0069370554396725 0.867475803361147 0.473348849152513 -0.0587655700670622 0.959482114786053 0.583086101154286 0.0726396809464072 0.947653147294 0.319301601034 0
67 0.90912871677715 0.53676980222 0.0041883291616725 0.856309226776663 0.47945384662881 -0.0598632509480671 0.961948206777637 0.59408575781119 0.0682399092714121 0.946047776169 0.324027167387 0
68 0.90149591856155 0.54707375571585 0.0033716025906225 0.850939892918248 0.493138503133156 -0.0609704843771017 0.952051944204852 0.601009008298544 0.0677136895583467 0.944416312958 0.328751924434 0
69 0.90149591856155 0.54707375571585 0.0033716025906225 0.850939892918248 0.493138503133156 -0.0609704843771017 0.952051944204852 0.601009008298544 0.0677136895583467 0.942756821012 0.333480998613 0
70 0.9004915999474 0.54841945005035 0.0029663844049305 0.849867831111297 0.494609007525657 -0.0614578830682909 0.951115368783503 0.602229892575043 0.0673906518781519 0.941080300934 0.338183185853 0
71 0.89741730250905 0.5546685343373 0.0008976867457655 0.848643273022787 0.505913236006697 -0.0636426782246222 0.946191331995313 0.603423832667903 0.0654380517161532 0.939375422937 0.342890383041 0
72 0.8960629661808 0.5561502533783 0.0019073802601005 0.847768508843078 0.509111366984748 -0.0622649349995229 0.944357423518522 0.603189139771852 0.0660796955197239 0.937652863176 0.347573169531 0
73 0.8914216814392 0.56192573634525 0.003033030561045 0.841118358720589 0.515404847343541 -0.0613822961306139 0.941725004157811 0.608446625346958 0.0674483572527039 0.935903600555 0.352256228431 0
74 0.8896281490062 0.5644984747571 0.004637678336545 0.841154505029401 0.52167393305785 -0.063084969601941 0.938101792982999 0.60732301645635 0.072360326275031 0.934126076807 0.356943234463 0
75 0.88554695882535 0.56936778484775 0.00410873687304 0.834903938099837 0.519752951846457 -0.0633560591890167 0.936189979550863 0.618982617849043 0.0715735329350967 0.93233033985 0.361607712024 0
76 0.8817208738212 0.5729773551862 0.0035890053769 0.830939571489955 0.523580072476039 -0.0640731146874082 0.932502176152444 0.622374637896361 0.0712511254412082 0.930510132518 0.366266150881 0
77 0.8788347036928 0.57655538418845 0.003415539133935 0.82967728433255 0.529536323248016 -0.0643135191593323 0.92799212305305 0.623574445128884 0.0711445974272023 0.928670827619 0.37090496617 0
78 0.87616185636055 0.5818287670585 0.00088673183375 0.825640625709012 0.532529283834901 -0.0649466226631776 0.926683087012088 0.631128250282099 0.0667200863306776 0.926800898592 0.375553051337 0
79 0.8706438885746 0.5891198922133 0.000854994438105 0.822960150226943 0.542956902126302 -0.0630950058283933 0.918327626922257 0.635282882300298 0.0648049947046033 0.92491454916 0.380175060665 0
80 0.8670868297995 0.59182845481605 0.001946680655812 0.816531853886669 0.547714780006454 -0.0621595119295122 0.91764180571233 0.635942129625646 0.0660528732411362 0.922999369914 0.384801459378 0
81 0.86425545768935 0.59386745046145 0.003655437558152 0.812365598533893 0.548670727848043 -0.0587663317373444 0.916145316844806 0.639064173074857 0.0660772068536484 0.921067734381 0.389402399432 0
82 0.86144559762835 0.59890376696915 0.004413150804102 0.811663446030723 0.55839288081022 -0.0595117688212228 0.911227749225976 0.63941465312808 0.0683380704294268 0.919105790295 0.394010845341 0
83 0.85861910817215 0.6008516178628 0.004225284364912 0.806224085806296 0.559276387395438 -0.0595831371862707 0.911014130538004 0.642426848330162 0.0680337059160947 0.917124922616 0.398599895029 0
84 0.85411485461895 0.60834103723145 0.003949215225407 0.801884154444261 0.565132463945008 -0.0604952531579017 0.906345554793639 0.651549610517892 0.0683936836087157 0.915125443766 0.403169222749 0
85 0.8498854985466 0.6123646463349 0.003595436908622 0.796244760516926 0.566475286082875 -0.0606802987406086 0.903526236576274 0.658254006586924 0.0678711725578526 0.913094547741 0.407747896237 0
86 0.8458646540442 0.61645374420515 0.003964271740617 0.793498460602392 0.570362648671226 -0.0603932115444748 0.898230847486008 0.662544839739073 0.0683217550257088 0.911048312524 0.412299614658 0
87 0.8438267835919 0.61873234085475 0.004034305197807 0.791983896805045 0.574377650337308 -0.060262031910141 0.895669670378755 0.663087031372192 0.068330642305755 0.908975586025 0.416849354097 0
88 0.84314642331125 0.61895778026115 0.004300226048557 0.789500587488705 0.574228964199384 -0.0602404707702886 0.896792259133795 0.663686596322916 0.0688409228674026 0.906879862193 0.421389268431 0
89 0.83713072313865 0.62502130997785 0.002919078902332 0.780151351206938 0.576753834211423 -0.0598352168872775 0.894110095070362 0.673288785744277 0.0656733746919415 0.904758671193 0.425924578888 0
90 0.8344703844454 0.6282137554218 0.002997760773267 0.780829229414031 0.583110504833548 -0.0591539151002839 0.888111539476769 0.673317006010052 0.0651494366468179 0.902615209765 0.430448351258 0
91 0.82931328973065 0.633783764877 0.002673213178955 0.77492133787162 0.591524244625681 -0.0585730812052414 0.88370524158968 0.676043285128319 0.0639195075631513 0.90045091862 0.434957633748 0
92 0.82650910734085 0.6357973272765 0.00342448044396 0.772017598939747 0.594696056056741 -0.0575206912351124 0.881000615741953 0.67689859849626 0.0643696521230324 0.898267426752 0.439449234879 0
93 0.8232805221738 0.64063062137945 0.00356290315774 0.771934405529446 0.604501851548966 -0.0579182256834533 0.874626638818153 0.676759391209935 0.0650440319989333 0.896060313017 0.443932332047 0
94 0.8175654425097 0.6456559561535 0.0025034601960995 0.761263444149398 0.606589754202913 -0.0587064397911581 0.873867440870002 0.684722158104087 0.0637133601833571 0.893825025263 0.448415905398 0
95 0.81013008097515 0.6508336469004 0.0024624617259595 0.753002176183202 0.612311419141819 -0.0588085310066722 0.867257985767098 0.689355874658981 0.0637334544585912 0.891571595492 0.452879774457 0
96 0.80810024295825 0.65254392366545 0.0026257478625345 0.752643705569416 0.615471977053761 -0.0585576642858374 0.863556780347084 0.689615870277139 0.0638091600109064 0.889301215529 0.457321930438 0
97 0.80266546495595 0.65843366753275 0.0016671633140045 0.743313340286884 0.613255454989403 -0.0597766655225251 0.862017589625016 0.703611880076097 0.0631109921505341 0.88699835447 0.46177258382 0
98 0.80018155884825 0.660852160737 0.0013998292315895 0.741316242188685 0.617284041082171 -0.0602857413475696 0.859046875507815 0.704420280391829 0.0630853998107486 0.884682417347 0.466194187476 0
99 0.79797559202855 0.6629088580658 0.000743691017024501 0.741835342865868 0.622870240403525 -0.0617936541357995 0.854115841191232 0.702947475728074 0.0632810361698485 0.882340287657 0.470611959876 0
100 0.79084598269085 0.67067458234525 0.0022304865775145 0.73373870666975 0.628661830276645 -0.0582056386955424 0.847953258711949 0.712687334413855 0.0626666118505714 0.879974936596 0.475020116377 0
101 0.7869886456918 0.674229962797 0.0028172038704945 0.730459364866841 0.634732083740172 -0.0570496396720035 0.843517926516759 0.713727841853828 0.0626840474129925 0.877585419474 0.479420307796 0
102 0.7831891074216 0.67902883639195 0.0026272210655355 0.727500654453952 0.640333878502225 -0.0561837518364517 0.838877560389248 0.717723794281675 0.0614381939675227 0.875178167866 0.483800759085 0
103 0.77846613971165 0.6819166301602 0.0027906217133405 0.719004665899363 0.644124765255386 -0.0561089735120758 0.837927613523937 0.719708495065014 0.0616902169387568 0.872753183258 0.488161736634 0
104 0.777212577987 0.68342092384675 0.0027628280034405 0.719178069803118 0.647271247551038 -0.0560566940435596 0.835247086170882 0.719570600142462 0.0615823500504406 0.870293257776 0.492533902863 0
105 0.77112940598685 0.687779130473 0.001299809015956 0.707360438405915 0.64757616979582 -0.0575918979779405 0.834898373567785 0.72798209115018 0.0601915160098525 0.8678225654 0.49687422451 0
106 0.76873041715815 0.689394783341 0.002091095249956 0.706532552068675 0.650652654599583 -0.0564982497839748 0.830928282247625 0.728136912082417 0.0606804402838868 0.865327896996 0.50120617582 0
107 0.7636231946068 0.69182633611525 0.001190358144873 0.703192833282412 0.653345731732279 -0.0571159701817306 0.824053555931188 0.73030694049822 0.0594966864714766 0.862811152788 0.505526373817 0
108 0.75979728137575 0.69508448820825 0.000915348847918001 0.699788908942799 0.656266139077756 -0.0576568401832206 0.819805653808702 0.733902837338744 0.0594875378790566 0.860272262549 0.509834908856 0
109 0.7551028296898 0.6990971954636 0.000221758951656499 0.696770432346363 0.661921839557706 -0.0575524592702243 0.813435227033237 0.736272551369494 0.0579959771735373 0.85771933457 0.514118218997 0
110 0.7446029412215 0.7086568511959 0.0022604157960565 0.682017537236302 0.669639057911981 -0.0556428124977889 0.807188345206698 0.747674644479819 0.0601636440899019 0.855135810448 0.518404037108 0
111 0.74219734408395 0.71153881013385 0.0016545489550165 0.6795247491559 0.670697344539072 -0.0558184773417746 0.804869939012 0.752380275728628 0.0591275752518076 0.852532179765 0.52267473869 0
112 0.73702341143975 0.7171094850143 0.0028253294619665 0.67917941865096 0.679786978516773 -0.0517002109024394 0.794867404228539 0.754431991511827 0.0573508698263724 0.849909042253 0.526929425916 0
113 0.7323716362057 0.72161845477965 0.002935637901147 0.675908711355213 0.685333508487883 -0.0515771027793009 0.788834561056187 0.757903401071417 0.0574483785815949 0.847267552352 0.531166353162 0
114 0.7262963530819 0.7249856183879 0.002494998696877 0.664984896852024 0.690967438975644 -0.0516436257249245 0.787607809311776 0.759003797800156 0.0566336231186785 0.844599132915 0.535399201231 0
115 0.71931221570885 0.72787218081985 0.001850639157037 0.647806952488961 0.692831438667639 -0.0529345575791267 0.790817478928739 0.762912922972062 0.0566358358932007 0.841905449869 0.539625067506 0
116 0.71514175458245 0.72910039501255 0.001567803858729 0.646877660609675 0.693491160729991 -0.0529456213032209 0.783405848555225 0.764709629295109 0.0560812290206789 0.839196652497 0.543828078015 0
117 0.70827989520725 0.7334974567239 0.0027838730348249 0.641732871687539 0.700784654957125 -0.0510844907945614 0.774826918726961 0.766210258490675 0.0566522368642112 0.836472491023 0.548008915769 0
118 0.7021699281887 0.7381705506572 0.0022474861876409 0.630906839744736 0.703673895787534 -0.0517361874128277 0.773433016632663 0.772667205526866 0.0562311597881095 0.833722531213 0.552183611625 0
119 0.697853795117 0.74167642246115 0.0037800477155159 0.628840062524215 0.706057045740436 -0.0488556777973563 0.766867527709785 0.777295799181864 0.0564157732283881 0.830944275138 0.556355652093 0
120 0.69456364630435 0.7443020885034 0.0049125884130509 0.628686784067251 0.713441093546221 -0.046157111298282 0.760440508541449 0.775163083460579 0.0559822881243838 0.82815232481 0.560503101607 0
121 0.69197851200035 0.74666370776355 0.0050817962788159 0.624703222044711 0.712173155741855 -0.0458818356996554 0.759253801955989 0.781154259785245 0.0560454282572872 0.825338462139 0.564638311589 0
122 0.6879149311976 0.7500982914291 0.0040441416049864 0.624256758911019 0.715267073995156 -0.0461478776839104 0.751573103484182 0.784929508863044 0.0542361608938832 0.822496255793 0.568770524207 0
123 0.6851794593196 0.7527961209964 0.0014714587280864 0.625128064757276 0.718847179856534 -0.0413582504731241 0.745230853881924 0.786745062136265 0.0443011679292969 0.819649068162 0.572865957325 0
124 0.6737664720076 0.76013838198855 0.0018952951468224 0.619251804794875 0.728396969300289 -0.0413506311802732 0.728281139220325 0.791879794676811 0.045141221473918 0.816782863987 0.576945190721 0
125 0.6698783105491 0.76248960738445 0.0012570310500824 0.609439625447035 0.73281404789193 -0.0416325386031509 0.730316995651166 0.79216516687697 0.0441466007033157 0.813885761263 0.581024928565 0
126 0.6646493061517 0.76449516326535 0.000619890377397401 0.59532856410744 0.734610400404315 -0.0426959796563381 0.73397004819596 0.794379926126385 0.0439357604111329 0.810966327948 0.585092825912 0
127 0.6646493061517 0.76449516326535 0.000619890377397401 0.59532856410744 0.734610400404315 -0.0426959796563381 0.73397004819596 0.794379926126385 0.0439357604111329 0.808031654762 0.589139070936 0
128 0.66314834000455 0.76532812552615 0.000911886547474501 0.594474839378507 0.736699678027633 -0.0424247466736706 0.731821840630593 0.793956573024667 0.0442485197686196 0.805073964917 0.593174435569 0
129 0.65028678407345 0.7736481751973 0.00055031511143 0.576115095589736 0.741791720177697 -0.0428844666049127 0.724458472557164 0.805504630216903 0.0439850968277727 0.802105875469 0.597181852151 0
130 0.641038585584 0.78014453455445 0.0040728825700905 0.571820263603717 0.748634445594814 -0.0369864754933936 0.710256907564284 0.811654623514085 0.0451322406335746 0.799104436834 0.601192231347 0
