t xx yy zz xxIn yyIn zzIn xxOut yyOut zzOut wptRefX wptRefY wptRefZ
1 0.583058127857679 0.0643811624116129 -0.00708568297821818 0.565783787344113 0.0269037980285047 -0.0272849475938952 0.600332468371244 0.101858526794721 0.0131135816374588 0.5 5.96046447754e-08 0
2 0.582266965833036 0.0701260504406057 -0.00699045997696575 0.564958993310033 0.0316227088801383 -0.0271146238646296 0.599574938356038 0.108629392001073 0.0131337039106981 0.49997515142 0.00498477307386 0
3 0.5812712997405 0.0754285868085821 -0.00694110780007611 0.563765963283109 0.037507426166133 -0.027151291909927 0.598776636197891 0.113349747451031 0.0132690763097747 0.499900298925 0.00998454481184 0
4 0.580146759745179 0.0806095983024857 -0.00703416544074075 0.562134910953639 0.0407880696383653 -0.0272231786044543 0.598158608536718 0.120431126966606 0.0131548477229728 0.499775435471 0.0149837945857 0
5 0.579237191391072 0.0855463140971607 -0.00672782790392753 0.561525592708333 0.0470207197495821 -0.0268147584069879 0.59694879007381 0.124071908444739 0.0133591025991328 0.499600161346 0.0199919679713 0
6 0.577982074437429 0.0910999691155714 -0.00687053876585661 0.55995850856038 0.0512165674645686 -0.0268769648038926 0.596005640314477 0.130983370766574 0.0131358872721794 0.499375596025 0.0249802741148 0
7 0.577298308613607 0.0949824417737143 -0.00687547451431446 0.559214041018641 0.0572464820376244 -0.0272465975821313 0.595382576208574 0.132718401509804 0.0134956485535024 0.499100246664 0.0299823911627 0
8 0.575768933814571 0.101604886614371 -0.00671025789703907 0.557448079249535 0.0630485113766777 -0.0268917909028997 0.594089788379608 0.140161261852065 0.0134712751088216 0.498775344037 0.0349736498011 0
9 0.574839393976286 0.105600074500821 -0.00666280255965847 0.556637494909428 0.0687162842141243 -0.0270474979388634 0.593041293043144 0.142483864787519 0.0137218928195465 0.49840067519 0.0399595666917 0
10 0.573457588785857 0.110508953795964 -0.00659452729162821 0.554761267862031 0.0734230398901642 -0.0269671517066379 0.592153909709684 0.147594867701764 0.0137780971233815 0.497976241789 0.044940656579 0
