t xVel yVel zVel xVelIn yVelIn zVelIn xVelOut yVelOut zVelOut wptRefVelX wptRefVelY wptRefVelZ
39 -0.0922350726455758 0.247029219603091 -0.0073840890491751 -0.122137097369088 0.221253290745544 -0.0817985477822532 -0.062333047922064 0.272805148460638 0.067030369683903 -0.0927203187312 0.232170072349 0
40 -0.0945305785771849 0.245345151201061 -0.00635618383233419 -0.124224419123654 0.219184271757573 -0.0798665774580529 -0.0648367380307156 0.271506030644548 0.0671542097933845 -0.0950371771878 0.23123134509 0
41 -0.0967152990044515 0.244793783841394 -0.00730906814695939 -0.127074259388084 0.219107115769908 -0.0803862404418143 -0.0663563386208195 0.27048045191288 0.0657681041478955 -0.0973483215067 0.230267896807 0
42 -0.0987283838751151 0.24331850670903 -0.00512975701393 -0.128378171750332 0.217124472732857 -0.075681803744355 -0.0690785959998988 0.269512540685204 0.065422289716495 -0.0996482791426 0.229281967158 0
43 -0.102054546857076 0.241211021535606 -0.00412170798057732 -0.132788615469634 0.214203148412056 -0.0743578138570135 -0.0713204782445172 0.268218894659156 0.0661143978958588 -0.10192998044 0.22827675985 0
44 -0.104013473973715 0.240008952320879 -0.00390973410307944 -0.133853476036579 0.212803811992426 -0.0727188209109189 -0.0741734719108517 0.267214092649331 0.06489935270476 -0.104211837367 0.227244126333 0
45 -0.105718689540345 0.23832686403003 -0.00390869977065424 -0.135939296771947 0.210753502711358 -0.0707096991818309 -0.0754980823087442 0.265900225348702 0.0628922996405224 -0.106480861601 0.22618980108 0
46 -0.111578007094273 0.235795701576788 -0.000986187808196303 -0.138927206310511 0.208246639181647 -0.0699463740570594 -0.0842288078780348 0.263344763971928 0.0679739984406668 -0.108747190675 0.225108970324 0
47 -0.113327192098827 0.234893642033091 -0.00169445373452388 -0.141212743844023 0.207329110719353 -0.0715096826511822 -0.0854416403536319 0.262458173346828 0.0681207751821344 -0.110983056307 0.224015091484 0
48 -0.11847073422987 0.232582969473606 -0.000888578625444543 -0.144592113464869 0.204746142115318 -0.070304328382546 -0.0923493549948706 0.260419796831894 0.0685271711316569 -0.113220249179 0.222892743659 0
49 -0.119831916236033 0.231776366330121 -0.000836985560724848 -0.146553661381823 0.204270823222261 -0.0706547440285762 -0.0931101710902437 0.259281909437981 0.0689807729071265 -0.115438321611 0.221752100111 0
50 -0.124482495527924 0.229917972608061 0.000778387955746334 -0.153297241947538 0.202518861604312 -0.0679307124244115 -0.0956677491083103 0.257317083611809 0.0694874883359042 -0.117652477201 0.220585345407 0
51 -0.126229528699552 0.228559173711515 0.000261138248065183 -0.155320831131961 0.200979448814045 -0.0683752580083853 -0.0971382262671418 0.256138898608986 0.0688975345045157 -0.119852618458 0.219397697911 0
52 -0.127893159665736 0.227694703122485 0.00119228919962094 -0.156695590749143 0.200520101134928 -0.0658440471140617 -0.0990907285823299 0.254869305110042 0.0682286255133036 -0.122039185673 0.218188994132 0
53 -0.129880524091115 0.225948367063606 0.00236712038902961 -0.158478098206788 0.198429550034962 -0.0647572212460113 -0.101282949975442 0.253467184092251 0.0694914620240705 -0.124216202575 0.216956988866 0
54 -0.134566805296815 0.222121393245394 0.0025109261700423 -0.164057784815078 0.197001851666319 -0.0624285095996817 -0.105075825778552 0.247240934824469 0.0674503619397663 -0.126380732042 0.215703292902 0
55 -0.136563725501127 0.221139370193909 0.00261941974081745 -0.165547545031032 0.19550055729779 -0.0620355450134858 -0.107579905971223 0.246778183090028 0.0672743844951207 -0.128532992825 0.214427772817 0
56 -0.139246994553327 0.21973650013697 0.00421649223634145 -0.168694889049912 0.194117257678412 -0.0588246387068115 -0.109799100056743 0.245355742595527 0.0672576231794944 -0.130666182031 0.213134579253 0
57 -0.143222778373261 0.217244683572727 0.00440842208191909 -0.170756937056833 0.192460491198271 -0.0578668054894669 -0.115688619689689 0.242028875947183 0.0666836496533051 -0.132793482076 0.21181570083 0
58 -0.145114671461512 0.215669774400667 0.00543966660821333 -0.172952242276726 0.191583709985005 -0.0574071072907968 -0.117277100646298 0.239755838816328 0.0682864405072235 -0.134904033793 0.210477793761 0
59 -0.1466450478743 0.213600614098727 0.00682408652366084 -0.174133886379802 0.188914524835947 -0.0541302928321421 -0.119156209368798 0.238286703361508 0.0677784658794638 -0.1370022788 0.209118090092 0
60 -0.149102999806845 0.211866061046697 0.0069657769095669 -0.177533992151804 0.18691833984051 -0.0537504557414754 -0.120672007461887 0.236813782252884 0.0676820095606092 -0.13908657281 0.207737635646 0
61 -0.150908733887149 0.210297958537848 0.00727290553423151 -0.179384808356381 0.185025939252475 -0.0522616847330091 -0.122432659417916 0.235569977823222 0.0668074958014721 -0.141151940431 0.206339840342 0
62 -0.154043703069667 0.207359499584061 0.0112217476930912 -0.181297537712411 0.182145028507172 -0.0466239344452427 -0.126789868426923 0.232573970660949 0.0690674298314251 -0.143208000671 0.20491819964 0
63 -0.155787754036394 0.206223203792212 0.01186877630235 -0.18285270629863 0.181571443129868 -0.0435501141391833 -0.128722801774158 0.230874964454557 0.0672876667438833 -0.145253454852 0.203473422966 0
64 -0.156993096369848 0.205390898926545 0.0122324038754591 -0.184117218103419 0.18086120159469 -0.0427842035071943 -0.129868974636278 0.229920596258401 0.0672490112581124 -0.147282094706 0.202009862579 0
65 -0.160005223597121 0.202209715903697 0.0128253718689394 -0.187047553911937 0.176629233594952 -0.0424688719381795 -0.132962893282306 0.227790198212442 0.0681196156760583 -0.149293622376 0.200527839259 0
66 -0.163314104860697 0.198937852991818 0.0131602795562433 -0.190015456387261 0.173350981943422 -0.0492580622533157 -0.136612753334133 0.224524724040215 0.0755786213658024 -0.151295007099 0.199022161647 0
67 -0.168536262464515 0.195801980566667 0.014278398702233 -0.19537292632718 0.168584557619415 -0.049266558158436 -0.141699598601851 0.223019403513918 0.0778233555629021 -0.153276145714 0.197500438367 0
68 -0.170130865097424 0.195317251764364 0.0146861003091633 -0.197220451979091 0.168170397158624 -0.0482753752044177 -0.143041278215758 0.222464106370103 0.0776475758227444 -0.155242447087 0.195958624771 0
69 -0.171202094920667 0.192084838424545 0.0159782460401751 -0.197345577587086 0.166936300047406 -0.0473162909128634 -0.145058612254248 0.217233376801685 0.0792727829932137 -0.157193726938 0.194396842081 0
70 -0.172297781359758 0.191018207410212 0.0170015538391828 -0.198094212472534 0.166074379838805 -0.0461639157981621 -0.146501350246981 0.215962034981619 0.0801670234765278 -0.159132835549 0.192812708736 0
71 -0.175678248167515 0.190277753052788 0.0164540261441862 -0.203742420827557 0.165482793308754 -0.0463591062021319 -0.147614075507473 0.215072712796822 0.0792671584905042 -0.161050350751 0.191213975752 0
72 -0.177923238958121 0.188869434300636 0.0182850214971015 -0.205187915702854 0.163555248900603 -0.0447522122793043 -0.150658562213389 0.214183619700669 0.0813222552735073 -0.162953455122 0.189594755897 0
73 -0.179086900851606 0.186867250462273 0.0185605580265264 -0.206512769468299 0.161922784369298 -0.0447889290816402 -0.151661032234913 0.211811716555248 0.0819100451346929 -0.164845142712 0.187952331521 0
74 -0.180666350245394 0.184848257956121 0.0197926943098515 -0.207475294368653 0.1597039107565 -0.0443784338774653 -0.153857406122135 0.209992605155742 0.0839638224971683 -0.166710505524 0.186299778174 0
75 -0.184494085857848 0.182593230573303 0.0174722153299858 -0.211579270064174 0.159452123115021 -0.0483082625236506 -0.157408901651523 0.205734338031585 0.0832526931836221 -0.168567732064 0.184621016428 0
76 -0.186247435494636 0.180772201489182 0.0184919009216967 -0.213425721696546 0.158364003078469 -0.0490399234279907 -0.159069149292727 0.203180399899894 0.0860237252713842 -0.170406070172 0.182925589376 0
77 -0.187004112194364 0.177520977864212 0.0183878693361652 -0.216269045241435 0.154505897399038 -0.0496371751395107 -0.157739179147292 0.200536058329387 0.0864129138118411 -0.17222679522 0.181212391983 0
78 -0.188127359235788 0.175216617027 0.019265215641786 -0.217884524018074 0.150497291476034 -0.0496892643256794 -0.158370194453502 0.199935942577966 0.0882196956092514 -0.174027879611 0.17948341739 0
79 -0.189585844972788 0.173368744702 0.0189130094021114 -0.219962908439511 0.148934078944233 -0.0512477197191081 -0.159208781506064 0.197803410459767 0.089073738523331 -0.175815315667 0.177732874778 0
80 -0.19368910969003 0.173335738066333 0.0186263775701475 -0.221679885788959 0.150171900821497 -0.054287626800253 -0.165698333591102 0.19649957531117 0.091540381940548 -0.177584892234 0.175964786393 0
81 -0.194194840624545 0.171534121299758 0.019204142457989 -0.223551063628659 0.14792344351818 -0.0560210745260053 -0.164838617620432 0.195144799081335 0.0944293594419833 -0.179335879105 0.17417991407 0
82 -0.197025960774242 0.169848875493182 0.0190347753962209 -0.226476244900965 0.14658150671084 -0.0581639289879125 -0.16757567664752 0.193116244275523 0.0962334797803543 -0.181065886159 0.172380813519 0
83 -0.199191906422152 0.167560372380242 0.0230788419491903 -0.227941395409059 0.141720816720878 -0.0535456868037584 -0.170442417435244 0.193399928039606 0.0997033707021391 -0.182783884221 0.170558059525 0
84 -0.201317070091273 0.166008474236697 0.0223505212366158 -0.230505320942084 0.140651930861398 -0.0553054896532457 -0.172128819240461 0.191365017611996 0.100006532126477 -0.184475931038 0.168726497231 0
85 -0.203387133670667 0.165206098547849 0.0231955125878685 -0.232298381436311 0.139724982798562 -0.0551744240743369 -0.174475885905022 0.190687214297135 0.101565449250074 -0.186158716786 0.166868008212 0
86 -0.206350169009364 0.162482183542758 0.0221152938489852 -0.237041211686636 0.138137821072901 -0.0565817014137214 -0.175659126332092 0.186826546012614 0.100812289111692 -0.187813594624 0.165003192922 0
87 -0.207091638274394 0.160871912402758 0.02225598688327 -0.237578115377267 0.136335743115537 -0.0562391922581253 -0.176605161171521 0.185408081689978 0.100751166024665 -0.189456034718 0.163114717022 0
88 -0.209192009604061 0.157987898579485 0.024239111561113 -0.23714793288689 0.133367981176133 -0.0586467329255555 -0.181236086321232 0.182607815982836 0.107124956047782 -0.191077238428 0.161212558304 0
89 -0.211038677929697 0.156812789139879 0.0245077294476121 -0.237673694378899 0.132002235344352 -0.0575531519165521 -0.184403661480495 0.181623342935405 0.106568610811776 -0.192680294551 0.159293138872 0
90 -0.214242375085333 0.154764875705909 0.0235156171994554 -0.242590834714804 0.130682022206258 -0.0597580762642525 -0.185893915455863 0.17884772920556 0.106789310663163 -0.194262757334 0.157359401095 0
91 -0.216917717351818 0.153384941447818 0.0239404894075948 -0.245505859707017 0.129026687577702 -0.0575310054277688 -0.18832957499662 0.177743195317935 0.105411984242959 -0.195824980264 0.155410994156 0
92 -0.217889285676303 0.151708692637909 0.0230975100018703 -0.247048427821359 0.127985886521841 -0.0590595560596583 -0.188730143531247 0.175431498753977 0.105254576063399 -0.197369033876 0.153445314255 0
93 -0.221205374752667 0.149808246060939 0.0217705672317052 -0.248634772908009 0.125813479320528 -0.0573906521547568 -0.193775976597324 0.17380301280135 0.100931786618167 -0.198899387433 0.151456375497 0
94 -0.220746011601333 0.146314292103488 0.0197855419442658 -0.249206853332216 0.121162918143995 -0.0588780908231194 -0.192285169870451 0.17146566606298 0.0984491747116509 -0.200400398359 0.149464645778 0
95 -0.221802023017879 0.144425846819155 0.0202203974161009 -0.250401950988449 0.119225731499067 -0.0565615912758445 -0.193202095047308 0.169625962139242 0.0970023861080463 -0.201886914526 0.147450580681 0
96 -0.223278723831606 0.142975912765888 0.0203946147764464 -0.250306471670786 0.119591937535587 -0.0564084549204113 -0.196250975992426 0.166359887996189 0.097197684473304 -0.203349861216 0.145426386682 0
97 -0.224953389129364 0.141487437095124 0.0210545127039164 -0.252016309581553 0.118673024681093 -0.0560641531478304 -0.197890468677174 0.164301849509156 0.0981731785556632 -0.204794068813 0.143385457348 0
98 -0.227254085618121 0.141089865839591 0.0206032973358843 -0.253556077279553 0.119191214671549 -0.0568350074138483 -0.200952093956689 0.162988517007632 0.0980416020856169 -0.206218922107 0.141328539811 0
99 -0.22822755018903 0.137787792372658 0.0203111590651124 -0.253587461552583 0.114722833953751 -0.0575158372516713 -0.202867638825477 0.160852750791565 0.0981381553818961 -0.207622220383 0.139258800811 0
100 -0.229995672441667 0.137101145882924 0.0205370746226136 -0.254906776112835 0.113719688994909 -0.0568855949663128 -0.205084568770499 0.16048260277094 0.0979597442115401 -0.209003928621 0.137176374864 0
101 -0.232170314669394 0.134914411911197 0.0199966009929261 -0.257621076797085 0.112691883429158 -0.0570726628343227 -0.206719552541703 0.157136940393236 0.0970658648201748 -0.210362335673 0.135084002496 0
102 -0.233040737925091 0.132946069076012 0.0198272758953721 -0.258240883456835 0.110551432043866 -0.0572028307630425 -0.207840592393347 0.155340706108158 0.0968573825537867 -0.211707357558 0.132966141388 0
103 -0.234284706109697 0.13121481390503 0.0197982132296045 -0.259921269035041 0.109453133887307 -0.0564929865603421 -0.208648143184353 0.152976493922754 0.0960894130195512 -0.213025412029 0.130844082136 0
104 -0.23591928463403 0.129987474793564 0.0193265374961083 -0.260645167341113 0.107858425174676 -0.0569060645158959 -0.211193401926948 0.152116524412452 0.0955591395081125 -0.214319910482 0.128712765376 0
105 -0.236639035818515 0.127496042034473 0.0191661305930413 -0.261197153465752 0.105664626883193 -0.0567791653224797 -0.212080918171278 0.149327457185753 0.0951114265085624 -0.215597672521 0.126560829657 0
106 -0.237872419710455 0.126160646086579 0.0187493165385018 -0.261955087658514 0.10464876219011 -0.0567839102711536 -0.213789751762395 0.147672529983047 0.0942825433481573 -0.216852523233 0.124398485391 0
107 -0.239223795384182 0.124506529328897 0.0185531794615048 -0.262959812838936 0.104026083235887 -0.0577601222970605 -0.215487777929428 0.144986975421907 0.0948664812200702 -0.218086969528 0.122221412698 0
108 -0.240946979660273 0.122148629349733 0.0148036877916121 -0.263967224628645 0.0983689648419901 -0.063804012272598 -0.2179267346919 0.145928293857477 0.0934113878558222 -0.219297270539 0.120036274243 0
109 -0.241301453517152 0.120052681189803 0.0140192454463455 -0.264605543950248 0.09681557209012 -0.0659074976656455 -0.217997363084055 0.143289790289486 0.0939459885583364 -0.220486141675 0.117838284651 0
110 -0.241412610156576 0.117815571963042 0.01220478947064 -0.267212487756092 0.0946604832645466 -0.066708431586762 -0.21561273255706 0.140970660661538 0.0911180105280421 -0.22165393443 0.115626698265 0
111 -0.241903516749606 0.115810209239909 0.0117117303648827 -0.266605852779296 0.0934302585444509 -0.0687602779493114 -0.217201180719916 0.138190159935367 0.0921837386790768 -0.222798625294 0.11340534629 0
112 -0.243743896453636 0.113088681293258 0.00949100817941091 -0.268460786982604 0.091461138391771 -0.0697320166816776 -0.219027005924669 0.134716224194744 0.0887140330404994 -0.223921638231 0.111171488844 0
113 -0.243507682479879 0.110025609460542 0.0130160866917171 -0.267992999926904 0.0886182005313181 -0.0652029551975471 -0.219022365032853 0.131433018389767 0.0912351285809812 -0.225020397534 0.1089303479 0
114 -0.245317902748848 0.108440113368594 0.0119092481181947 -0.268885862411691 0.0869372442022244 -0.0671103653692693 -0.221749943086006 0.129942982534963 0.0909288616056586 -0.226099295638 0.106672904302 0
115 -0.245617322010939 0.106683881542455 0.0116306426011524 -0.269779530412566 0.0853862011931361 -0.068050830490819 -0.221455113609312 0.127981561891773 0.0913121156931238 -0.22715517399 0.104405588593 0
116 -0.246565926117576 0.104276543736282 0.00958320044096757 -0.269918516995542 0.082973876829572 -0.0710329984184475 -0.223213335239609 0.125579210642992 0.0901993993003826 -0.228188097331 0.10212831261 0
117 -0.246660775002818 0.102922774620712 0.00973984596084788 -0.269831358476799 0.0809896753934886 -0.0708659066905454 -0.223490191528837 0.124855873847936 0.0903455986122412 -0.229196453494 0.0998448081072 0
118 -0.247594738845485 0.100936859453127 0.00806181842712273 -0.272272181618767 0.0794147030493309 -0.0732871127728847 -0.222917296072202 0.122459015856924 0.0894107496271301 -0.230185959237 0.0975419098144 0
119 -0.249245153383364 0.0996777803064576 0.00766227555298 -0.272971307711945 0.0778090210751086 -0.0754190121509815 -0.225518999054782 0.121546539537807 0.0907435632569415 -0.231149988203 0.0952348830731 0
120 -0.248660201784788 0.097661670515197 0.00756325548095303 -0.27115282340642 0.0755292719452998 -0.0748449660893379 -0.226167580163155 0.119794069085094 0.089971477051244 -0.232090563489 0.0929191602373 0
121 -0.249927655859273 0.0958301461198334 0.00749248131044875 -0.272574157130287 0.0742197230700446 -0.075125167533646 -0.227281154588259 0.117440569169622 0.0901101301545435 -0.233008436697 0.0905928718378 0
122 -0.250878960957 0.0936876849619576 0.00663782759450876 -0.273661876652717 0.0721346122667755 -0.0756638464460829 -0.228096045261283 0.11524075765714 0.0889395016351004 -0.23390315156 0.0882570999439 0
123 -0.249945497629758 0.0917269107808545 0.00517380139514209 -0.275872558907791 0.0702966041741455 -0.0790313988541799 -0.224018436351724 0.113157217387564 0.0893790016444641 -0.234773673992 0.0859146204111 0
124 -0.248236505344273 0.0886747836838667 0.000917357107633638 -0.279586701052605 0.0652669639960477 -0.0879684527486667 -0.216886309635941 0.112082603371686 0.089803166963934 -0.235621654213 0.0835609721447 0
125 -0.249724491797818 0.086892583740697 0.0016621424787203 -0.279923831939903 0.0629140191282303 -0.0885078492919361 -0.219525151655733 0.110871148353164 0.0918321342493767 -0.23644477129 0.0812026485386 0
126 -0.251885219014303 0.0859072657926697 0.00139510816726364 -0.277768130738507 0.0626566773286713 -0.0884215096646934 -0.226002307290099 0.109157854256668 0.0912117259992207 -0.237243542248 0.0788384529364 0
127 -0.251537477446697 0.0838831715558091 0.000756848310323034 -0.277699849599519 0.0602235867055844 -0.0891257281485724 -0.225375105293875 0.107542756406034 0.0906394247692184 -0.238021609445 0.0764572654302 0
128 -0.244031256377087 0.0774364196858243 -0.00210615993881788 -0.295548844058477 0.0465955867370203 -0.0881932252095354 -0.192513668695698 0.108277252634628 0.0839809053318997 -0.238772095332 0.0740802705909 0
129 -0.244928658955996 0.0750752406820879 -0.00469297378469939 -0.296629728544929 0.0445045678328591 -0.0929613078167371 -0.193227589367064 0.105645913531317 0.0835753602473383 -0.239501553258 0.0716868606292 0
130 -0.246227616156966 0.0730592708974 -0.00410219330799484 -0.29708091186246 0.0423356538441726 -0.0918788393111117 -0.195374320451472 0.103782887950627 0.083674452695122 -0.240205790003 0.0692905365053 0
131 -0.246617738778148 0.0699347282970879 -0.00337792713177485 -0.297704593642344 0.0378943343883895 -0.0918452334774242 -0.195530883913952 0.101975122205786 0.0850893792138745 -0.240887247062 0.0668829888894 0
132 -0.247042503976572 0.0684029643134021 -0.00326492476831757 -0.298124629862015 0.0365336937304963 -0.0911817139875285 -0.195960378091129 0.100272234896308 0.0846518644508933 -0.241545096866 0.0644667835387 0
133 -0.247342582693421 0.066592406571393 -0.001643775994799 -0.298355252548658 0.0344077263040987 -0.0889160154322739 -0.196329912838183 0.0987770868386874 0.0856284634426759 -0.242178149594 0.0620463041537 0
134 -0.250858107223697 0.0670220210850355 -0.00168454085110567 -0.285609794107629 0.0378224042120297 -0.088680843157658 -0.216106420339765 0.0962216379580412 0.0853117614554466 -0.242785526277 0.0596253992059 0
135 -0.251517797776667 0.0645418668935082 0.000173898850659486 -0.286331698025816 0.0362368536599696 -0.0867353921170029 -0.216703897527518 0.0928468801270467 0.0870831898183219 -0.243369848789 0.0571936771012 0
136 -0.25304447044397 0.0634294961436818 0.000131641870035243 -0.284296584495192 0.0351083673139 -0.0873698525612156 -0.221792356392748 0.0917506249734637 0.0876331363012861 -0.243929346009 0.0547583249874 0
137 -0.253530723336909 0.059117887153627 0.000468998019639089 -0.284520900200127 0.0282732894617583 -0.0857731853638873 -0.222540546473691 0.0899624848454956 0.0867111814031654 -0.244463962378 0.0523198919953 0
138 -0.253372623565242 0.0576509100859785 -0.00022015816415788 -0.28132673104233 0.0274487073236799 -0.0855984305526543 -0.225418516088155 0.0878531128482771 0.0851581142243386 -0.244975707809 0.049868853842 0
139 -0.252990643209333 0.0547312692777421 6.38873194321233e-05 -0.281359924187612 0.0241540190379585 -0.0846965522813367 -0.224621362231055 0.0853085195175257 0.0848243269202009 -0.245461285332 0.0474210649708 0
