t xx yy zz xxIn yyIn zzIn xxOut yyOut zzOut wptRefX wptRefY wptRefZ
1 1.035215610621 0.172098983971 0.001936529792266 1.01631067366121 0.127275386144081 -0.00975170524830517 1.05412054758079 0.216922581797919 0.0136247648328372 1 5.96046447754e-08 0
2 1.0321630173335 0.1897554703284 0.002834182817826 1.01392907357442 0.129772923050913 -0.00951845974566265 1.05039696109258 0.249738017605887 0.0151868253813147 0.999987523285 0.00499532529415 0
3 1.0321630173335 0.1897554703284 0.002834182817826 1.01392907357442 0.129772923050913 -0.00951845974566265 1.05039696109258 0.249738017605887 0.0151868253813147 0.999950077967 0.00999207558121 0
4 1.0321630173335 0.1897554703284 0.002834182817826 1.01392907357442 0.129772923050913 -0.00951845974566265 1.05039696109258 0.249738017605887 0.0151868253813147 0.999887487125 0.0150004363678 0
5 1.0308441606675 0.195397504779 0.000316185188643 1.01377787323267 0.140576800329464 -0.0129909542295137 1.04791044810233 0.250218209228536 0.0136233246067997 0.999800102398 0.0199938802055 0
6 1.0308441606675 0.195397504779 0.000316185188643 1.01377787323267 0.140576800329464 -0.0129909542295137 1.04791044810233 0.250218209228536 0.0136233246067997 0.999687594345 0.0249942736072 0
7 1.0304245334495 0.2015380941571 0.000163971111387999 1.01303602286968 0.137102969329731 -0.0130460538047932 1.04781304402931 0.265973218984469 0.0133739960275692 0.999550197289 0.0299900500226 0
8 1.0296445174575 0.2074514572607 0.000938961529616 1.01209414894795 0.143488578563363 -0.0117140970386256 1.04719488596705 0.271414335958037 0.0135920200978576 0.999387832722 0.034985136955 0
9 1.0283952976355 0.213994154746 0.001215364775571 1.01073645940956 0.151335525192287 -0.0113594598464474 1.04605413586144 0.276652784299713 0.0137901893975894 0.999200761145 0.0399729774557 0
10 1.0266236030845 0.2278380342571 0.001446279723037 1.00750350742082 0.16398577976007 -0.0112791078508004 1.04574369874818 0.29169028875413 0.0141716672968744 0.998988091018 0.0449754822522 0
11 1.0229078460165 0.2370925988676 0.001911588302209 1.00800002326617 0.18358957293319 -0.0103712552813222 1.03781566876683 0.29059562480201 0.0141944318857402 0.998750676823 0.0499708469533 0
12 1.0229078460165 0.2370925988676 0.001911588302209 1.00800002326617 0.18358957293319 -0.0103712552813222 1.03781566876683 0.29059562480201 0.0141944318857402 0.998488070881 0.0549688303266 0
13 1.0218183587437 0.24061933135 0.001828349205026 1.00455512797638 0.18117158889516 -0.010444765465636 1.03908158951102 0.30006707380484 0.014101463875688 0.998201490386 0.0599481825464 0
14 1.0218183587437 0.24061933135 0.001828349205026 1.00455512797638 0.18117158889516 -0.010444765465636 1.03908158951102 0.30006707380484 0.014101463875688 0.997888472243 0.0649507272075 0
15 1.0193604069997 0.2471015022251 0.001745623816406 1.00352303912295 0.186035089580656 -0.0106705524226483 1.03519777487645 0.308167914869544 0.0141618000554603 0.997551271726 0.0699389753882 0
16 1.0173687426357 0.2582677877697 0.001049883160211 1.00194030444586 0.201689935860552 -0.010728771057823 1.03279718082554 0.314845639678849 0.012828537378245 0.997189292398 0.0749233950528 0
17 1.0173687426357 0.2582677877697 0.001049883160211 1.00194030444586 0.201689935860552 -0.010728771057823 1.03279718082554 0.314845639678849 0.012828537378245 0.99680218871 0.0799086765166 0
