t xVel yVel zVel xVelIn yVelIn zVelIn xVelOut yVelOut zVelOut wptRefVelX wptRefVelY wptRefVelZ
1 -0.0539170984707909 0.269940760483364 0.0155149959874024 -0.0726039262537954 0.209593621919928 -0.0245941828909306 -0.0352302706877864 0.330287899046799 0.0556241748657353 -2.98023223877e-08 0.25 0
2 -0.0583981628108636 0.266060325847727 0.0166982797990118 -0.0748182794729546 0.208877223280974 -0.032954558826237 -0.0419780461487727 0.323243428414481 0.0663511184242606 -0.00124653657329 0.249996892274 0
3 -0.0583981628108636 0.266060325847727 0.0166982797990118 -0.0748182794729546 0.208877223280974 -0.032954558826237 -0.0419780461487727 0.323243428414481 0.0663511184242606 -0.00249651395311 0.249987534525 0
4 -0.0583981628108636 0.266060325847727 0.0166982797990118 -0.0748182794729546 0.208877223280974 -0.032954558826237 -0.0419780461487727 0.323243428414481 0.0663511184242606 -0.00374729308911 0.249971914011 0
5 -0.0639074468041091 0.268040265581636 0.0163889750415118 -0.0839372915798087 0.212872474891673 -0.0333270236534547 -0.0438776020284095 0.3232080562716 0.0661049737364783 -0.00499817208772 0.249950031558 0
6 -0.0676261333082909 0.268007831191727 0.0176555048251248 -0.0899227723167116 0.215018462731357 -0.0305971972337617 -0.0453294942998703 0.320997199652098 0.0659082068840113 -0.0062462594431 0.249921956304 0
7 -0.0676261333082909 0.268007831191727 0.0176555048251248 -0.0899227723167116 0.215018462731357 -0.0305971972337617 -0.0453294942998703 0.320997199652098 0.0659082068840113 -0.00749550175351 0.249887609644 0
8 -0.0689613341298727 0.269769699568818 0.0213445129127201 -0.0910898831241569 0.214620681822969 -0.0238194230362083 -0.0468327851355886 0.324918717314667 0.0665084488616485 -0.00874454186995 0.249847019169 0
9 -0.0711778617480364 0.263695909317909 0.0196818047287992 -0.091447953840802 0.207439386247063 -0.0263171550880433 -0.0509077696552707 0.319952432388755 0.0656807645456416 -0.00999206811295 0.249800237339 0
10 -0.0719133091182727 0.266449747442273 0.0188908930868083 -0.0914341483197416 0.206112836315431 -0.0258814468621598 -0.0523924699168039 0.326786658569114 0.0636632330357763 -0.011240938004 0.249747154764 0
