t xVel yVel zVel xVelIn yVelIn zVelIn xVelOut yVelOut zVelOut wptRefVelX wptRefVelY wptRefVelZ
1 -0.0155110757929368 0.259773695456536 0.003027718168161 -0.039886943885991 0.234241760319232 -0.0165435805265607 0.00886479230011747 0.28530563059384 0.0225990168628827 -5.96046447754e-08 0.25 0
2 -0.0179461906605143 0.260263788284393 0.00294196251490643 -0.0419574490407745 0.235530004584969 -0.016446898482998 0.00606506771974591 0.284997571983817 0.0223308235128109 -0.00249354876971 0.24998756412 0
3 -0.0206607478206786 0.261124559333607 0.00346879518715793 -0.0432288115566406 0.23692366435775 -0.0155780344781768 0.00190731591528344 0.285325454309465 0.0225156248524927 -0.00498929276759 0.249950208957 0
4 -0.0234722744018132 0.259221926709393 0.00269451847803579 -0.0465156477638357 0.231030640280548 -0.0147793182336619 -0.000428901039790673 0.287413213138237 0.0201683551897335 -0.00749040784587 0.249887762386 0
5 -0.0261025418960068 0.260049561667786 0.00358087402315214 -0.0485843583062617 0.232333885447085 -0.0142130363526611 -0.00362072548575187 0.287765237888487 0.0213747843989654 -0.00999258923683 0.249800216494 0
6 -0.02895894221662 0.260302596745929 0.00294706223109429 -0.0517639220072464 0.232739943770827 -0.0145915365592403 -0.00615396242599357 0.28786524972103 0.0204856610214289 -0.0124907621246 0.249687766744 0
7 -0.0310641929956004 0.260831732705964 0.00267112181544839 -0.0528178380659805 0.233521183522655 -0.0153271173605406 -0.00931054792522017 0.288142281889274 0.0206693609914374 -0.0149920285447 0.249550073292 0
8 -0.0353566714556675 0.262884483895786 0.00366566701240875 -0.0617993516168122 0.234138241326746 -0.0133227687366486 -0.00891399129452276 0.291630726464826 0.0206541027614661 -0.0174834952144 0.249387905471 0
9 -0.0390228795381286 0.263681372467357 0.00344367072034875 -0.0635166287853404 0.236202541909651 -0.0148472554421123 -0.0145291302909167 0.291160203025063 0.0217345968828098 -0.0199723565882 0.249200932928 0
10 -0.0414161562561143 0.264654013265393 0.0038225904627 -0.0663032752193223 0.238376464642388 -0.0142220686338521 -0.0165290372929063 0.290931561888398 0.0218672495592521 -0.0224648668518 0.24898861371 0
11 -0.0438473529222891 0.264330554694714 0.00311717895050821 -0.0670171561847497 0.238269262761725 -0.0155974794920001 -0.0206775496598285 0.290391846627703 0.0218318373930166 -0.0249469434937 0.248752185941 0
12 -0.0477944235288284 0.266106452903107 0.00309325971672929 -0.0735691477232735 0.241966101957328 -0.015878195280595 -0.0220196993343832 0.290246803848886 0.0220647147140536 -0.0274415572975 0.248489357786 0
13 -0.0508531068959257 0.263580005278929 0.0020942638144275 -0.0746594200586308 0.238350162107564 -0.0190854735612075 -0.0270467937332206 0.288809848450293 0.0232740011900625 -0.0299197683482 0.248203157639 0
14 -0.0525682059261686 0.263511534581071 0.00226073817070071 -0.0771130990817942 0.238432176168833 -0.0192382633289275 -0.028023312770543 0.28859089299331 0.0237597396703289 -0.032401619562 0.247891377522 0
15 -0.0551976509250679 0.263349128878964 0.00234578975347821 -0.0778219203892549 0.238679381241649 -0.01874350948921 -0.0325733814608808 0.28801887651628 0.0234350889961665 -0.0348802861142 0.247554773011 0
16 -0.0589992956560964 0.263624308129643 0.00371381097609143 -0.0830263168936833 0.238750933438305 -0.020125468849042 -0.0349722744185096 0.288497682820981 0.0275530908012249 -0.0373493019098 0.247194315563 0
17 -0.0624564882825857 0.26435860967925 0.00404816023676828 -0.0854121056779536 0.241513558861153 -0.0194017193804426 -0.0395008708872178 0.287203660497347 0.0274980398539792 -0.0398214818578 0.246808123008 0
18 -0.0640248419153286 0.264760200584821 0.00428547477324757 -0.0876487624547539 0.241666291435331 -0.0201686628233298 -0.0404009213759033 0.287854109734312 0.028739612369825 -0.0422862655117 0.246397791689 0
19 -0.0665893292073393 0.26321088774975 0.00361825728857314 -0.0898724056029488 0.239310800346787 -0.0203032570688951 -0.0433062528117297 0.287110975152713 0.0275397716460414 -0.0447465023846 0.245962904773 0
20 -0.0681398275471071 0.262026288798107 0.00347617832108053 -0.0907626148805101 0.235248516569866 -0.0212745989664814 -0.0455170402137042 0.288804061026348 0.0282269556086425 -0.0472073627369 0.245502474333 0
21 -0.0713499835905535 0.260347440836 0.00211369351886161 -0.0957102521770164 0.234809319089656 -0.0228262282598171 -0.0469897150040907 0.285885562582344 0.0270536152975403 -0.0496633136355 0.24501745913 0
22 -0.0777118911462 0.258676667554214 0.00139100329812818 -0.102381428282739 0.230977047234262 -0.025793732844284 -0.0530423540096611 0.286376287874167 0.0285757394405404 -0.0521108453232 0.244508608846 0
23 -0.0781452574919643 0.251956910946718 0.000701233999288034 -0.104556569517008 0.204779612676864 -0.0261655364444613 -0.0517339454669204 0.299134209216572 0.0275680044430374 -0.0545511305861 0.243975765501 0
24 -0.07976696245065 0.251415443508111 7.9007694951464e-05 -0.105104767716978 0.204264098143673 -0.0268949299587556 -0.0544291571843216 0.298566788872549 0.0270529453486586 -0.0569905842246 0.243417487683 0
25 -0.0818082088677429 0.251472291366039 -0.000179195164354609 -0.107918654315558 0.20428646356153 -0.0271654668935463 -0.0556977634199275 0.298658119170549 0.0268070765648371 -0.0594300590282 0.242833416325 0
26 -0.0848056029869107 0.252340734879257 -0.000368666666305643 -0.108639448478383 0.209672333836607 -0.0270232247293392 -0.0609717574954385 0.295009135921908 0.0262858913967279 -0.0618467161796 0.242229196625 0
27 -0.0889961554943607 0.251204165662971 -0.000956357957989214 -0.118242822022198 0.205857435714936 -0.0295439002847909 -0.0597494889665235 0.296550895611007 0.0276311843688125 -0.0642653547459 0.241598766924 0
28 -0.0916626080931928 0.251015279531043 -0.000419025371077856 -0.119770543333408 0.205677237699044 -0.0292097883786332 -0.0635546728529774 0.296353321363042 0.0283717376364775 -0.0666814758902 0.240943106922 0
